way_id,point_index,lat,lon
39341047,0,48.8951263,17.9682541
39341047,1,48.8947196,17.967346
39341047,2,48.8946244,17.9670294
39341047,3,48.8945875,17.9667497
39341047,4,48.8945445,17.9665202
39341047,5,48.8944951,17.9663133
39341047,6,48.8944139,17.966119
39341047,7,48.8942148,17.9657883
39341047,8,48.8941456,17.965677
39341047,9,48.8940788,17.9655937
39341051,0,48.8940788,17.9655937
39341051,1,48.8940117,17.965258
39341051,2,48.8939956,17.964826
39341051,3,48.893953,17.9645216
39341051,4,48.8939587,17.964107
39341051,5,48.8940006,17.9637578
39341051,6,48.8940806,17.9631512
39341051,7,48.8940797,17.962983
39341051,8,48.8939841,17.9623403
39341051,9,48.8939467,17.9621622
39341051,10,48.8937865,17.9617894
39341053,0,48.8937865,17.9617894
39341053,1,48.8937401,17.9616635
39341053,2,48.8937154,17.9614672
39341053,3,48.8937024,17.9612255
39341053,4,48.8937058,17.9609862
39341053,5,48.8937143,17.9607723
39341053,6,48.8937573,17.9605062
39341053,7,48.893851,17.960167
39341053,8,48.8938847,17.9599854
39341053,9,48.8939188,17.9597796
39341053,10,48.8939304,17.9596406
39341053,11,48.8939201,17.9594632
39341053,12,48.8938905,17.9592574
39341053,13,48.8938454,17.9590753
39341053,14,48.8937606,17.9588209
39341055,0,48.8937606,17.9588209
39341055,1,48.8939675,17.9584004
39341055,2,48.8940798,17.9581647
39341055,3,48.8942932,17.9576721
39341055,4,48.8943494,17.9575427
39341055,5,48.8944015,17.9573825
39341055,6,48.8944246,17.9572771
39341055,7,48.894436,17.9571533
39341055,8,48.8944403,17.9570295
39341055,9,48.8944285,17.9568865
39341055,10,48.8944241,17.9568421
39341060,0,48.8953866,17.9494613
39341060,1,48.895473,17.9492082
39341062,0,48.8957839,17.9484247
39341062,1,48.8958514,17.9482747
39341062,2,48.8958996,17.9482264
39341062,3,48.8959657,17.9482388
39341062,4,48.8960437,17.9481711
39341062,5,48.8960901,17.94811
39341062,6,48.8961375,17.9480292
39341062,7,48.8962923,17.9477759
39341062,8,48.8963988,17.9476849
39341062,9,48.8964699,17.9476388
39341062,10,48.8965924,17.9475537
39341062,11,48.8966902,17.9475036
39341062,12,48.8967187,17.947467
39341062,13,48.8968588,17.9472189
39341062,14,48.8970741,17.9468259
39341062,15,48.8970907,17.9467555
39341064,0,48.8970907,17.9467555
39341064,1,48.8970871,17.946701
39341064,2,48.8970725,17.9466002
39341064,3,48.8970687,17.9465438
39341064,4,48.897071,17.9464816
39341064,5,48.8970909,17.9464081
39341064,6,48.8971813,17.9461138
39341064,7,48.8972697,17.9458218
39341064,8,48.8973969,17.9455082
39341064,9,48.8974442,17.9453491
39341064,10,48.8975386,17.944965
39341064,11,48.8975883,17.9446738
39341064,12,48.8976361,17.9443968
39341064,13,48.8977718,17.943785
39341064,14,48.897926,17.9430969
39341064,15,48.8979602,17.9429928
39341064,16,48.897991,17.9429113
39341064,17,48.8980344,17.9428157
39341064,18,48.8980869,17.9427272
39341064,19,48.8981643,17.9426335
39341064,20,48.8984128,17.9423776
39341064,21,48.8985553,17.9422228
107577770,0,48.8932667,17.9522609
107577770,1,48.8932795,17.9520692
107577770,2,48.8932817,17.9519736
107577770,3,48.8933405,17.9518378
107577770,4,48.8933848,17.951755
107577770,5,48.8934679,17.9516358
107577770,6,48.893589,17.9514814
107577770,7,48.8936713,17.9513955
107577770,8,48.8937753,17.9513227
107577770,9,48.8939105,17.9512557
107577770,10,48.8940541,17.9511541
107577770,11,48.8942148,17.9511087
107577770,12,48.8942861,17.9510768
107577770,13,48.8943726,17.9509402
107577770,14,48.894829,17.9505171
107577770,15,48.8949852,17.950349
107577770,16,48.8950585,17.950269
