way_id,point_index,lat,lon
81660147,0,49.0846701,17.3362429
81660147,1,49.0845268,17.3362813
81660147,2,49.0844159,17.3363085
81660147,3,49.0843378,17.3363263
81660147,4,49.0841518,17.3363855
81660147,5,49.0841152,17.3363999
81660147,6,49.0840074,17.3364424
81660160,0,49.0844159,17.3363085
81660160,1,49.084494,17.3367837
81660160,2,49.0844199,17.3368751
81660160,3,49.0842989,17.3369205
81660160,4,49.0842795,17.3369973
81660160,5,49.0842417,17.3370466
81660160,6,49.08428,17.3372254
81660160,7,49.0840141,17.337357
81660160,8,49.084098,17.3377719
81660160,9,49.0841115,17.3378282
81660696,0,49.0855092,17.3374934
81660696,1,49.085548,17.3374375
81660696,2,49.0855597,17.3374208
81660696,3,49.085567,17.3374102
81660696,4,49.0859279,17.3371799
81660696,5,49.0859994,17.3373921
81660696,6,49.0860061,17.337412
95741489,0,49.0841518,17.3363855
95741489,1,49.0841163,17.3363162
95741489,2,49.084095,17.3362002
95741489,3,49.0840836,17.3360858
95741489,4,49.084077,17.3359766
95741489,5,49.0841073,17.3359034
95741489,6,49.0841578,17.3358475
95741489,7,49.0843103,17.335818
95741489,8,49.0844466,17.3357916
95741489,9,49.0844724,17.3358012
95741489,10,49.0844857,17.3358211
95741489,11,49.0845156,17.335927
95741489,12,49.0845145,17.3359847
95741489,13,49.0844923,17.3360795
95741489,14,49.0844449,17.3362763
95741489,15,49.0844159,17.3363085
226910647,0,49.0836909,17.3405935
226910647,1,49.0834315,17.3405406
226910647,2,49.0833818,17.3405365
226910647,3,49.0833464,17.3405297
226910647,4,49.0833061,17.3405395
226910647,5,49.0831606,17.3405243
226910647,6,49.0831025,17.3405647
226910647,7,49.0830447,17.340616
226910647,8,49.0828563,17.3409546
226910647,9,49.0828849,17.3410293
226910647,10,49.0829332,17.341238
226910647,11,49.0829792,17.3414526
226910647,12,49.083094,17.341775
226910647,13,49.0832502,17.3420957
226910647,14,49.083417,17.3423341
226910647,15,49.0836784,17.342476
226910647,16,49.0837373,17.3425147
226910648,0,49.084516,17.3375692
226910648,1,49.0845464,17.3377173
226910649,0,49.0828563,17.3409546
226910649,1,49.0827317,17.340689
226910649,2,49.0826151,17.3405326
226910649,3,49.0824597,17.3404733
226910649,4,49.0821135,17.3400795
226910649,5,49.0820173,17.3397979
226910649,6,49.0820375,17.3397751
226910649,7,49.0822578,17.339527
226910649,8,49.0822886,17.3395368
226910649,9,49.0823207,17.3395535
226910649,10,49.0823869,17.339588
226910649,11,49.0825252,17.3396791
226910649,12,49.082579,17.3397004
226910649,13,49.082711,17.3396698
226910649,14,49.0828514,17.3395786
226910649,15,49.0829164,17.339519
226910649,16,49.0829695,17.3394278
226910649,17,49.0830097,17.3393031
226910649,18,49.0830437,17.3390206
226910649,19,49.0830851,17.3389057
226910649,20,49.0831988,17.3387433
226910650,0,49.0842088,17.3387905
226910650,1,49.084328,17.3388781
226910651,0,49.084708,17.3385275
226910651,1,49.0846307,17.3385681
226910651,2,49.0843923,17.338693
226910652,0,49.0834733,17.3361909
226910652,1,49.0834267,17.3362009
226910652,2,49.083342,17.3361826
226910652,3,49.0832066,17.3361421
226910652,4,49.0831455,17.3361496
226910652,5,49.0830732,17.336151
226910652,6,49.0828993,17.3362584
226910652,7,49.0827881,17.3362836
226910652,8,49.0826077,17.3362785
226910652,9,49.0825181,17.3362991
226910652,10,49.0824694,17.3363244
226910652,11,49.082046,17.3367276
226910652,12,49.0818644,17.3368601
226910652,13,49.0816389,17.3369702
226910652,14,49.0814432,17.3370199
226910652,15,49.0814097,17.337132
226910652,16,49.0812752,17.3374962
226910652,17,49.0812823,17.3376616
226910652,18,49.0812739,17.3377948
226910652,19,49.0812438,17.3378559
226910652,20,49.0812215,17.3380036
226910652,21,49.0812724,17.3381293
226910652,22,49.0812857,17.3381287
226910652,23,49.0813319,17.3381268
226910652,24,49.0814568,17.3382416
226910652,25,49.0816478,17.3383498
226910652,26,49.0817578,17.3383674
226910652,27,49.0818814,17.3383492
226910652,28,49.0820696,17.3382916
226910652,29,49.0822117,17.3383392
226910652,30,49.0824249,17.3382417
226910652,31,49.0826111,17.338177
226910652,32,49.0827364,17.3381906
226910652,33,49.0828448,17.3382026
226910652,34,49.0829448,17.338147
226910652,35,49.0829727,17.3380562
226910652,36,49.0830066,17.3379801
226910652,37,49.0830183,17.3379539
226910652,38,49.083055,17.3378746
226910652,39,49.083108,17.3378067
226910652,40,49.0832136,17.3377351
226910652,41,49.0833001,17.3377329
226910652,42,49.0834232,17.3377674
226910652,43,49.0834845,17.3377453
226910652,44,49.08354,17.3376732
226910652,45,49.0835671,17.3376082
226910652,46,49.083581,17.3375541
226910652,47,49.0835823,17.3374118
226910652,48,49.0835808,17.3374008
226910652,49,49.0835743,17.3373548
226910652,50,49.0835116,17.3370509
226910652,51,49.0834278,17.336724
226910653,0,49.0837291,17.336631
226910653,1,49.0837927,17.336652
226910653,2,49.0838342,17.3366415
226910653,3,49.0838674,17.3366407
226910653,4,49.0838926,17.3366185
226910653,5,49.083918,17.3365985
226910653,6,49.0839407,17.3365732
226910653,7,49.0839899,17.3365204
226910653,8,49.0840074,17.3364424
226910653,9,49.0839651,17.3363814
226910653,10,49.0838909,17.3363913
226910653,11,49.0838533,17.3363663
226910653,12,49.0838124,17.3363689
226910653,13,49.0837764,17.3363988
226910653,14,49.0837526,17.3364497
226910653,15,49.0837047,17.3364908
226910653,16,49.0836885,17.3365902
226910653,17,49.0837291,17.336631
226910654,0,49.0835136,17.3391231
226910654,1,49.0835649,17.3389182
226910654,2,49.0836616,17.3386776
226910654,3,49.0838036,17.3384708
226910655,0,49.0837576,17.3375667
226910655,1,49.0838237,17.3378417
226910655,2,49.0838396,17.3379076
226910655,3,49.084098,17.3377719
226910655,4,49.0843737,17.3376413
226910655,5,49.084516,17.3375692
226910656,0,49.0835671,17.3376082
226910656,1,49.0837576,17.3375667
226910656,2,49.0837424,17.3374947
226910656,3,49.0837553,17.3374882
226910656,4,49.0840141,17.337357
226910657,0,49.0834733,17.3361909
226910657,1,49.0834817,17.3362361
226910657,2,49.0835157,17.336429
226910657,3,49.0835201,17.3365464
226910657,4,49.0835246,17.3366672
226910658,0,49.0822578,17.339527
226910658,1,49.0821757,17.339376
226910659,0,49.0838995,17.338956
226910659,1,49.0839607,17.3389179
226910659,2,49.0840961,17.3395418
226910659,3,49.0841357,17.3397244
226910659,4,49.0841593,17.3397127
226910659,5,49.084468,17.3395599
226910659,6,49.084625,17.3394852
226910659,7,49.0847986,17.3394026
